"block" "trial" "onset1" "onset2" "onset3" "onset4" "syllable" "speaker" "gender" "consonant" "vowel" "voicing" "place"
5 1 9980 11083 12186 13289 "bee" "S3" "female" "b" "ee" "voiced" "labial"
5 2 16499 17602 18706 19809 "boo" "S1" "male" "b" "oo" "voiced" "labial"
5 3 23219 24322 25426 26529 "ba" "S4" "female" "b" "a" "voiced" "labial"
5 4 32029 33132 34235 35339 "da" "S4" "female" "d" "a" "voiced" "alveolar"
5 5 37495 38598 39702 40838 "ta" "S3" "female" "t" "a" "voiceless" "alveolar"
5 6 43680 44783 45887 46990 "doo" "S1" "male" "d" "oo" "voiced" "alveolar"
5 7 51788 52891 53994 55098 "pee" "S2" "male" "p" "ee" "voiceless" "labial"
5 8 58207 59310 60413 61517 "ta" "S4" "female" "t" "a" "voiceless" "alveolar"
5 9 63924 65027 66131 67234 "boo" "S2" "male" "b" "oo" "voiced" "labial"
5 10 68972 70076 71179 72282 "pee" "S3" "female" "p" "ee" "voiceless" "labial"
5 11 77581 78685 79788 80891 "poo" "S2" "male" "p" "oo" "voiceless" "labial"
5 12 85438 86542 87645 88748 "bee" "S3" "female" "b" "ee" "voiced" "labial"
5 13 93295 94398 95502 96605 "pee" "S4" "female" "p" "ee" "voiceless" "labial"
5 14 99931 101035 102138 103241 "ba" "S1" "male" "b" "a" "voiced" "labial"
5 15 107337 108440 109544 110647 "ba" "S2" "male" "b" "a" "voiced" "labial"
5 16 112954 114057 115160 116264 "doo" "S3" "female" "d" "oo" "voiced" "alveolar"
5 17 117868 118972 120075 121178 "bee" "S3" "female" "b" "ee" "voiced" "labial"
5 18 124773 125876 126979 128082 "bee" "S4" "female" "b" "ee" "voiced" "labial"
5 19 130991 132094 133197 134301 "poo" "S4" "female" "p" "oo" "voiceless" "labial"
5 20 137861 138965 140068 141171 "doo" "S3" "female" "d" "oo" "voiced" "alveolar"
5 21 144966 146069 147173 148276 "ba" "S3" "female" "b" "a" "voiced" "labial"
5 22 150482 151586 152689 153792 "ta" "S2" "male" "t" "a" "voiceless" "alveolar"
5 23 158038 159142 160245 161348 "bee" "S2" "male" "b" "ee" "voiced" "labial"
5 24 163254 164357 165461 166564 "ta" "S4" "female" "t" "a" "voiceless" "alveolar"
5 25 169272 170375 171478 172582 "dee" "S1" "male" "d" "ee" "voiced" "alveolar"
5 26 176477 177580 178683 179787 "dee" "S2" "male" "d" "ee" "voiced" "alveolar"
5 27 184685 185788 186891 187994 "poo" "S2" "male" "p" "oo" "voiceless" "labial"
5 28 189800 190903 192006 193110 "boo" "S4" "female" "b" "oo" "voiced" "labial"
5 29 198275 199378 200482 201585 "pee" "S4" "female" "p" "ee" "voiceless" "labial"
5 30 204594 205697 206801 207904 "tee" "S3" "female" "t" "ee" "voiceless" "alveolar"
5 31 212668 213771 214875 215978 "pee" "S1" "male" "p" "ee" "voiceless" "labial"
5 32 221177 222280 223383 224487 "dee" "S4" "female" "d" "ee" "voiced" "alveolar"
5 33 228783 229886 230990 232093 "doo" "S1" "male" "d" "oo" "voiced" "alveolar"
5 34 234751 235854 236957 238061 "too" "S1" "male" "t" "oo" "voiceless" "alveolar"
5 35 243494 244597 245700 246803 "dee" "S4" "female" "d" "ee" "voiced" "alveolar"
5 36 250531 251635 252738 253841 "pa" "S4" "female" "p" "a" "voiceless" "labial"
5 37 256349 257452 258555 259658 "poo" "S4" "female" "p" "oo" "voiceless" "labial"
5 38 264256 265359 266462 267565 "pa" "S4" "female" "p" "a" "voiceless" "labial"
5 39 269688 270792 271895 272998 "bee" "S4" "female" "b" "ee" "voiced" "labial"
5 40 278063 279167 280270 281373 "too" "S1" "male" "t" "oo" "voiceless" "alveolar"
