"block" "trial" "onset1" "onset2" "onset3" "onset4" "syllable" "speaker" "gender" "consonant" "vowel" "voicing" "place"
2 1 9980 11167 12270 13374 "doo" "S1" "male" "d" "oo" "voiced" "alveolar"
2 2 16617 17720 18823 19926 "pee" "S4" "female" "p" "ee" "voiceless" "labial"
2 3 23621 24724 25827 26931 "dee" "S1" "male" "d" "ee" "voiced" "alveolar"
2 4 31528 32631 33734 34838 "pa" "S3" "female" "p" "a" "voiceless" "labial"
2 5 37546 38649 39752 40856 "ta" "S2" "male" "t" "a" "voiceless" "alveolar"
2 6 45620 46723 47826 48930 "dee" "S4" "female" "d" "ee" "voiced" "alveolar"
2 7 51437 52541 53644 54747 "pee" "S3" "female" "p" "ee" "voiceless" "labial"
2 8 57104 58207 59311 60414 "da" "S3" "female" "d" "a" "voiced" "alveolar"
2 9 63289 64393 65496 66599 "ta" "S3" "female" "t" "a" "voiceless" "alveolar"
2 10 70477 71581 72684 73787 "da" "S4" "female" "d" "a" "voiced" "alveolar"
2 11 78986 80089 81193 82296 "dee" "S3" "female" "d" "ee" "voiced" "alveolar"
2 12 84703 85807 86910 88013 "da" "S2" "male" "d" "a" "voiced" "alveolar"
2 13 89618 90721 91825 92928 "boo" "S1" "male" "b" "oo" "voiced" "labial"
2 14 97776 98879 99982 101085 "bee" "S2" "male" "b" "ee" "voiced" "labial"
2 15 104395 105499 106602 107705 "pa" "S3" "female" "p" "a" "voiceless" "labial"
2 16 109444 110547 111650 112754 "ba" "S3" "female" "b" "a" "voiced" "labial"
2 17 117234 118337 119440 120544 "pee" "S2" "male" "p" "ee" "voiceless" "labial"
2 18 123185 124288 125391 126495 "dee" "S2" "male" "d" "ee" "voiced" "alveolar"
2 19 129454 130557 131660 132763 "dee" "S3" "female" "d" "ee" "voiced" "alveolar"
2 20 136859 137962 139066 140169 "boo" "S3" "female" "b" "oo" "voiced" "labial"
2 21 142075 143178 144281 145384 "pee" "S2" "male" "p" "ee" "voiceless" "labial"
2 22 149814 150918 152021 153124 "boo" "S3" "female" "b" "oo" "voiced" "labial"
2 23 155281 156384 157487 158591 "dee" "S2" "male" "d" "ee" "voiced" "alveolar"
2 24 160797 161900 163004 164107 "tee" "S4" "female" "t" "ee" "voiceless" "alveolar"
2 25 165963 167066 168169 169272 "too" "S3" "female" "t" "oo" "voiceless" "alveolar"
2 26 173335 174438 175541 176644 "ba" "S2" "male" "b" "a" "voiced" "labial"
2 27 181141 182245 183348 184451 "da" "S2" "male" "d" "a" "voiced" "alveolar"
2 28 187895 188998 190101 191205 "poo" "S4" "female" "p" "oo" "voiceless" "labial"
2 29 194247 195350 196454 197557 "dee" "S3" "female" "d" "ee" "voiced" "alveolar"
2 30 200666 201769 202873 203976 "doo" "S2" "male" "d" "oo" "voiced" "alveolar"
2 31 209543 210646 211749 212853 "too" "S2" "male" "t" "oo" "voiceless" "alveolar"
2 32 216363 217466 218570 219673 "too" "S3" "female" "t" "oo" "voiceless" "alveolar"
2 33 224721 225825 226928 228031 "pee" "S2" "male" "p" "ee" "voiceless" "labial"
2 34 231926 233030 234133 235236 "ta" "S4" "female" "t" "a" "voiceless" "alveolar"
2 35 238831 239933 241037 242140 "tee" "S2" "male" "t" "ee" "voiceless" "alveolar"
2 36 247590 248693 249796 250900 "bee" "S4" "female" "b" "ee" "voiced" "labial"
2 37 255848 256951 258054 259158 "tee" "S3" "female" "t" "ee" "voiceless" "alveolar"
2 38 264306 265410 266513 267616 "ba" "S1" "male" "b" "a" "voiced" "labial"
2 39 272915 274019 275122 276225 "da" "S1" "male" "d" "a" "voiced" "alveolar"
2 40 280438 281541 282644 283748 "poo" "S1" "male" "p" "oo" "voiceless" "labial"
