"block" "trial" "onset1" "onset2" "onset3" "onset4" "syllable" "speaker" "gender" "consonant" "vowel" "voicing" "place"
3 1 9997 11100 12203 13307 "doo" "S4" "female" "d" "oo" "voiced" "alveolar"
3 2 16867 17971 19074 20177 "boo" "S3" "female" "b" "oo" "voiced" "labial"
3 3 22451 23554 24657 25760 "pa" "S1" "male" "p" "a" "voiceless" "labial"
3 4 28268 29371 30475 31578 "doo" "S4" "female" "d" "oo" "voiced" "alveolar"
3 5 35339 36442 37546 38649 "ba" "S4" "female" "b" "a" "voiced" "labial"
3 6 43045 44149 45252 46355 "ta" "S1" "male" "t" "a" "voiceless" "alveolar"
3 7 48361 49465 50568 51671 "doo" "S1" "male" "d" "oo" "voiced" "alveolar"
3 8 57188 58291 59394 60498 "pee" "S1" "male" "p" "ee" "voiceless" "labial"
3 9 63105 64209 65312 66415 "pee" "S3" "female" "p" "ee" "voiceless" "labial"
3 10 70912 72015 73119 74222 "ba" "S2" "male" "b" "a" "voiced" "labial"
3 11 76395 77498 78602 79705 "bee" "S2" "male" "b" "ee" "voiced" "labial"
3 12 83065 84168 85272 86375 "pa" "S1" "male" "p" "a" "voiceless" "labial"
3 13 88080 89183 90287 91390 "tee" "S1" "male" "t" "ee" "voiceless" "alveolar"
3 14 94298 95402 96505 97608 "da" "S4" "female" "d" "a" "voiced" "alveolar"
3 15 101253 102356 103459 104562 "ta" "S2" "male" "t" "a" "voiceless" "alveolar"
3 16 106368 107471 108574 109678 "poo" "S1" "male" "p" "oo" "voiceless" "labial"
3 17 114025 115127 116231 117334 "pa" "S4" "female" "p" "a" "voiceless" "labial"
3 18 119641 120744 121847 122951 "pa" "S2" "male" "p" "a" "voiceless" "labial"
3 19 127147 128250 129353 130456 "poo" "S3" "female" "p" "oo" "voiceless" "labial"
3 20 133165 134268 135371 136474 "bee" "S1" "male" "b" "ee" "voiced" "labial"
3 21 141172 142275 143378 144482 "ba" "S4" "female" "b" "a" "voiced" "labial"
3 22 149781 150884 151987 153091 "da" "S1" "male" "d" "a" "voiced" "alveolar"
3 23 157888 158992 160095 161198 "pa" "S1" "male" "p" "a" "voiceless" "labial"
3 24 164408 165511 166614 167718 "boo" "S4" "female" "b" "oo" "voiced" "labial"
3 25 172917 174020 175123 176226 "poo" "S1" "male" "p" "oo" "voiceless" "labial"
3 26 179235 180339 181442 182545 "doo" "S4" "female" "d" "oo" "voiced" "alveolar"
3 27 187661 188764 189867 190971 "dee" "S1" "male" "d" "ee" "voiced" "alveolar"
3 28 192575 193679 194782 195885 "da" "S3" "female" "d" "a" "voiced" "alveolar"
3 29 198994 200098 201201 202304 "too" "S4" "female" "t" "oo" "voiceless" "alveolar"
3 30 205765 206868 207971 209075 "ba" "S4" "female" "b" "a" "voiced" "labial"
3 31 214073 215176 216279 217383 "da" "S1" "male" "d" "a" "voiced" "alveolar"
3 32 221194 222297 223401 224504 "dee" "S4" "female" "d" "ee" "voiced" "alveolar"
3 33 229101 230204 231308 232411 "boo" "S2" "male" "b" "oo" "voiced" "labial"
3 34 235219 236323 237426 238529 "dee" "S1" "male" "d" "ee" "voiced" "alveolar"
3 35 243427 244530 245634 246737 "ta" "S2" "male" "t" "a" "voiceless" "alveolar"
3 36 250732 251836 252939 254042 "tee" "S2" "male" "t" "ee" "voiceless" "alveolar"
3 37 256449 257553 258656 259759 "too" "S1" "male" "t" "oo" "voiceless" "alveolar"
3 38 265159 266262 267365 268469 "ta" "S4" "female" "t" "a" "voiceless" "alveolar"
3 39 270374 271478 272581 273684 "tee" "S4" "female" "t" "ee" "voiceless" "alveolar"
3 40 277780 278883 279986 281090 "tee" "S3" "female" "t" "ee" "voiceless" "alveolar"
